Observation Season;IAU code;Latin name;French name;English name;Constellation area in square degrees;Dec;RA;Principal star;Constellation area in %;Constellation zone (celestial equator);Constellation zone (ecliptic);Constellation zone (Milky Way);Quad;Name origin;Image
Summer / Été;Sct;Scutum;L’Écu de Sobieski;Shield;109.114;-09° 53,32';18:40,18;α Scuti;0,26 %;South constellation;South ecliptic constellation;Milky Way Equator;South Hemisphere Quadrant 4;Hevelius;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/f996781593f1b398d00d8209f6740fca
Southern hemisphere constellation / Constellation de l'hémisphère sud;Vol;Volans;Poisson volant;Flying Fish;141.354;-69° 48,07';08:03,39;β Volantis;0,34 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 2;Bayer;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/67827a58943028476609e12f7be801a2
Southern hemisphere constellation / Constellation de l'hémisphère sud;Tuc;Tucana;Toucan;Toucan;294.557;-63° 16,56';23:29,64;α Tucanae;0,71 %;South constellation;South ecliptic constellation;;North Hemisphere Quadrant 1;Bayer;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/8193c9f5d34a5cba6a50fecf2a249398
Spring / Printemps;UMa;Ursa Major;Grande Ourse;Big Bear;1279.66;+53° 23,27';10:54,07;Alioth;3,10 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 2;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/709a5c93e41d20fbb9e382a321cdd6b1
Autumn / Automne;Tri;Triangulum;Triangle;Triangle;131.847;+32° 56,28';02:08,13;β Trianguli;0,32 %;North constellation;North ecliptic constellation;;South Hemisphere Quadrant 3;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/9873a1404e249c2ceef3e76363db0833
Summer / Été;Vul;Vulpecula;Petit Renard;Little Fox;268.165;+24° 26,56';19:42,64;Anser;0,65 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 4;Hevelius;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/cb7cdc06663e18b7ac9a30fbd5e357c6
Winter / Hiver;Gem;Gemini;Les Gémeaux;Twins;513.761;+24° 52,01';07:07,76;Pollux;1,25 %;North constellation;Zodiacal constellation # 4;Milky Way Equator;North Hemisphere Quadrant 2;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/68305ffebef494c6eca29ad75c8c365a
Southern hemisphere constellation / Constellation de l'hémisphère sud;Col;Columba;Colombe;Dove;270.184;-35° 48,67';05:53,75;Phact;0,65 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 1;Plancius;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/a06c4f91e3e0bd0cdd72fd9abd0a7f38
Winter / Hiver;CMi;Canis Minor;Petit Chien;Little Dog;183.367;+06° 42,63';07:34,54;Procyon;0,44 %;Equatorial constellation;South ecliptic constellation;;North Hemisphere Quadrant 2;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/7f5cd65acd0f070c14555b0dfe2c2cc7
Southern hemisphere constellation / Constellation de l'hémisphère sud;Cru;Crux;Croix du Sud;Southern Cross;68.447;-59° 42,19';12:31,61;Acrux;0,17 %;South constellation;South ecliptic constellation;Milky Way Equator;South Hemisphere Quadrant 3;Plancius;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/ecfd8b30f9f9f238bee9c0caa41edf2f
